ai_image,style_distance_avg,semantic_similarity_max,top3_style_matches,top3_semantic_matches,style_category,semantic_category,risk_label,expression_vs_idea
ai_01.png,0.0001578046823851764,0.7158945798873901,"ghibli_09.png (0.0001), ghibli_02.png (0.0001), ghibli_04.png (0.0001)","ghibli_09.png (0.7159), ghibli_05.png (0.6987), ghibli_08.png (0.6972)",Medium,Medium,Possibly Derivative,Different Expression and Idea
ai_02.png,0.00013677759052370674,360.6783226108551,"ghibli_10.png (0.0001), ghibli_02.png (0.0001), ghibli_07.png (0.0001)","ghibli_02.png (0.6737), ghibli_07.png (0.6603), ghibli_01.png (0.6528)",High,Low,Possibly Derivative,"Same Expression, Different Idea"
ai_03.png,0.00018021843497990632,0.8054431080818176,"ghibli_10.png (0.0001), ghibli_07.png (0.0001), ghibli_03.png (0.0001)","ghibli_03.png (0.8054), ghibli_02.png (0.5750), ghibli_07.png (0.5698)",Medium,Medium,Possibly Derivative,Different Expression and Idea
ai_04.png,0.00024243805528385566,0.7925431728363037,"ghibli_09.png (0.0001), ghibli_05.png (0.0002), ghibli_04.png (0.0002)","ghibli_04.png (0.7925), ghibli_05.png (0.7593), ghibli_08.png (0.7567)",Medium,Medium,Possibly Derivative,Different Expression and Idea
ai_05.png,0.00011561905339476652,0.8024888038635254,"ghibli_02.png (0.0001), ghibli_09.png (0.0001), ghibli_05.png (0.0001)","ghibli_05.png (0.8025), ghibli_06.png (0.7715), ghibli_09.png (0.7314)",High,Medium,Possibly Derivative,"Same Expression, Different Idea"
ai_06.png,0.0003446238421020098,0.8398241996765137,"ghibli_05.png (0.0002), ghibli_09.png (0.0002), ghibli_02.png (0.0002)","ghibli_06.png (0.8398), ghibli_08.png (0.8139), ghibli_05.png (0.7683)",Low,Medium,Gray Area,Different Expression and Idea
ai_07.png,0.00021359463426051661,0.8837993144989014,"ghibli_07.png (0.0000), ghibli_10.png (0.0001), ghibli_02.png (0.0002)","ghibli_07.png (0.8838), ghibli_10.png (0.5969), ghibli_05.png (0.5933)",Medium,High,Possibly Derivative,"Same Idea, Different Expression"
ai_08.png,0.00013411275285761802,0.8573499917984009,"ghibli_02.png (0.0001), ghibli_10.png (0.0001), ghibli_01.png (0.0001)","ghibli_08.png (0.8573), ghibli_06.png (0.7891), ghibli_10.png (0.7568)",High,High,High Risk,"Same Expression, Same Idea"
ai_09.png,0.0001985576542210765,0.9008729457855225,"ghibli_09.png (0.0001), ghibli_02.png (0.0001), ghibli_08.png (0.0001)","ghibli_09.png (0.9009), ghibli_08.png (0.7581), ghibli_05.png (0.7543)",Medium,High,Possibly Derivative,"Same Idea, Different Expression"
ai_10.png,0.00017287134251091628,0.7393074035644531,"ghibli_09.png (0.0001), ghibli_01.png (0.0001), ghibli_08.png (0.0001)","ghibli_05.png (0.7393), ghibli_06.png (0.7348), ghibli_08.png (0.7335)",Medium,Medium,Possibly Derivative,Different Expression and Idea
